! Relational table of sequence name and sequence id 
! sequence id define: stn_id.dev_id.cmd_type.obj_id.opr
! sequence id 		sequence name
!
!**********************机组操作ID*********************


1.22.6.892.0.2    PBG.LCU10.SYS.S_10KV891_SW2_CLOSE
1.22.6.914.0.1    PBG.LCU10.SYS.S_10KV805_SW2_OPEN
1.22.6.914.0.2    PBG.LCU10.SYS.S_10KV805_SW2_CLOSE
1.22.6.934.0.1    PBG.LCU10.SYS.S_10KV8412_SW2_OPEN
1.22.6.934.0.2    PBG.LCU10.SYS.S_10KV8412_SW2_CLOSE



!**********************倒闸1ID 监控10kv合分闸 BY DZ*********************
1.22.14.8.0.1     PBG.LCU10.SYS.S_10KV7001_SW2_OPEN2
1.22.14.8.0.2     PBG.LCU10.SYS.S_10KV7001_SW2_CLOSE2
1.22.14.9.0.1     PBG.LCU10.SYS.S_10KV7411_SW2_OPEN2
1.22.14.9.0.2     PBG.LCU10.SYS.S_10KV7411_SW2_CLOSE2
1.22.14.10.0.1    PBG.LCU10.SYS.S_10KV7421_SW2_OPEN2
1.22.14.10.0.2    PBG.LCU10.SYS.S_10KV7421_SW2_CLOSE2
1.22.14.0.0.1     PBG.LCU10.SYS.S_10KV702_SW2_OPEN2
1.22.14.0.0.2     PBG.LCU10.SYS.S_10KV702_SW2_CLOSE2
1.22.14.11.0.1    PBG.LCU10.SYS.S_10KV7431_SW2_OPEN2
1.22.14.11.0.2    PBG.LCU10.SYS.S_10KV7431_SW2_CLOSE2
1.22.14.12.0.1    PBG.LCU10.SYS.S_10KV791_SW2_OPEN2
1.22.14.12.0.2    PBG.LCU10.SYS.S_10KV791_SW2_CLOSE2
1.22.14.4.0.1     PBG.LCU10.SYS.S_10KV7231_SW2_OPEN2
1.22.14.4.0.2     PBG.LCU10.SYS.S_10KV7231_SW2_CLOSE2
1.22.14.5.0.1     PBG.LCU10.SYS.S_10KV7331_SW2_OPEN2
1.22.14.5.0.2     PBG.LCU10.SYS.S_10KV7331_SW2_CLOSE2
1.22.14.13.0.1    PBG.LCU10.SYS.S_10KV7511_SW2_OPEN2
1.22.14.13.0.2    PBG.LCU10.SYS.S_10KV7511_SW2_CLOSE2
1.22.14.14.0.1    PBG.LCU10.SYS.S_10KV7440_SW2_OPEN2
1.22.14.14.0.2    PBG.LCU10.SYS.S_10KV7440_SW2_CLOSE2
1.22.14.15.0.1    PBG.LCU10.SYS.S_10KV7251_SW2_OPEN2
1.22.14.15.0.2    PBG.LCU10.SYS.S_10KV7251_SW2_CLOSE2
1.22.14.16.0.1    PBG.LCU10.SYS.S_10KV7261_SW2_OPEN2
1.22.14.16.0.2    PBG.LCU10.SYS.S_10KV7261_SW2_CLOSE2
1.22.14.17.0.1    PBG.LCU10.SYS.S_10KV792_SW2_OPEN2
1.22.14.17.0.2    PBG.LCU10.SYS.S_10KV792_SW2_CLOSE2
1.22.14.3.0.1     PBG.LCU10.SYS.S_10KV708_SW2_OPEN2
1.22.14.3.0.2     PBG.LCU10.SYS.S_10KV708_SW2_CLOSE2
1.22.14.26.0.1    PBG.LCU10.SYS.S_10KV892_SW2_OPEN2
1.22.14.26.0.2    PBG.LCU10.SYS.S_10KV892_SW2_CLOSE2
1.22.14.25.0.1    PBG.LCU10.SYS.S_10KV8262_SW2_OPEN2
1.22.14.25.0.2    PBG.LCU10.SYS.S_10KV8262_SW2_CLOSE2
1.22.14.24.0.1    PBG.LCU10.SYS.S_10KV8252_SW2_OPEN2
1.22.14.24.0.2    PBG.LCU10.SYS.S_10KV8252_SW2_CLOSE2
1.22.14.23.0.1    PBG.LCU10.SYS.S_10KV8450_SW2_OPEN2
1.22.14.23.0.2    PBG.LCU10.SYS.S_10KV8450_SW2_CLOSE2
1.22.14.22.0.1    PBG.LCU10.SYS.S_10KV8512_SW2_OPEN2
1.22.14.22.0.2    PBG.LCU10.SYS.S_10KV8512_SW2_CLOSE2
1.22.14.21.0.1    PBG.LCU10.SYS.S_10KV891_SW2_OPEN2
1.22.14.21.0.2    PBG.LCU10.SYS.S_10KV891_SW2_CLOSE2
1.22.14.1.0.1     PBG.LCU10.SYS.S_10KV805_SW2_OPEN2
1.22.14.1.0.2     PBG.LCU10.SYS.S_10KV805_SW2_CLOSE2
1.22.14.18.0.1    PBG.LCU10.SYS.S_10KV8412_SW2_OPEN2
1.22.14.18.0.2    PBG.LCU10.SYS.S_10KV8412_SW2_CLOSE2


!**********************倒闸1新增储能合流程ID BY XBF 20120815*********************

1.22.6.660.0.2   PBG.LCU10.SYS.S_10KV7001_SW3_CLOSE
1.22.6.675.0.2   PBG.LCU10.SYS.S_10KV7411_SW3_CLOSE
1.22.6.685.0.2   PBG.LCU10.SYS.S_10KV7421_SW3_CLOSE
1.22.6.697.0.2   PBG.LCU10.SYS.S_10KV702_SW3_CLOSE
1.22.6.707.0.2   PBG.LCU10.SYS.S_10KV7431_SW3_CLOSE
1.22.6.716.0.2   PBG.LCU10.SYS.S_10KV791_SW3_CLOSE
1.22.6.726.0.2   PBG.LCU10.SYS.S_10KV7231_SW3_CLOSE
1.22.6.736.0.2   PBG.LCU10.SYS.S_10KV7331_SW3_CLOSE
1.22.6.746.0.2   PBG.LCU10.SYS.S_10KV7511_SW3_CLOSE
1.22.6.756.0.2   PBG.LCU10.SYS.S_10KV7440_SW3_CLOSE
1.22.6.766.0.2   PBG.LCU10.SYS.S_10KV7251_SW3_CLOSE
1.22.6.776.0.2   PBG.LCU10.SYS.S_10KV7261_SW3_CLOSE
1.22.6.785.0.2   PBG.LCU10.SYS.S_10KV792_SW3_CLOSE
1.22.6.801.0.2   PBG.LCU10.SYS.S_10KV708_SW3_CLOSE
1.22.6.935.0.2   PBG.LCU10.SYS.S_10KV8412_SW3_CLOSE
1.22.6.925.0.2   PBG.LCU10.SYS.S_10KV8422_SW3_CLOSE
1.22.6.915.0.2   PBG.LCU10.SYS.S_10KV805_SW3_CLOSE
1.22.6.903.0.2   PBG.LCU10.SYS.S_10KV8432_SW3_CLOSE
1.22.6.893.0.2   PBG.LCU10.SYS.S_10KV891_SW3_CLOSE
1.22.6.884.0.2   PBG.LCU10.SYS.S_10KV8232_SW3_CLOSE
1.22.6.874.0.2   PBG.LCU10.SYS.S_10KV8332_SW3_CLOSE
1.22.6.864.0.2   PBG.LCU10.SYS.S_10KV8512_SW3_CLOSE
1.22.6.854.0.2   PBG.LCU10.SYS.S_10KV8450_SW3_CLOSE
1.22.6.844.0.2   PBG.LCU10.SYS.S_10KV8252_SW3_CLOSE
1.22.6.834.0.2   PBG.LCU10.SYS.S_10KV8262_SW3_CLOSE
1.22.6.824.0.2   PBG.LCU10.SYS.S_10KV892_SW3_CLOSE
1.22.6.815.0.2   PBG.LCU10.SYS.S_10KV883_SW3_CLOSE




!********************LCU7倒闸  PENGGQ ******************！ 

1.19.6.273.51.2	PBG.LCU7.SYS.S_10KV403_SW2_CLOSE
1.19.6.273.51.1	PBG.LCU7.SYS.S_10KV403_SW2_OPEN
1.19.6.274.51.2	PBG.LCU7.SYS.S_10KV403_SW3_CLOSE
1.19.6.274.51.1	PBG.LCU7.SYS.S_10KV403_SW3_OPEN
1.19.14.0.51.2	PBG.LCU7.OBJ.CY_DL403_OBJ_CLOSE
1.19.14.0.51.1	PBG.LCU7.OBJ.CY_DL403_OBJ_OPEN	
1.19.6.315.51.2	PBG.LCU7.SYS.S_10KVDLC4_SW2_CLOSE
1.19.6.315.51.1	PBG.LCU7.SYS.S_10KVDLC4_SW2_OPEN
1.19.6.316.51.2	PBG.LCU7.SYS.S_10KVDLC4_SW3_CLOSE
1.19.6.316.51.1	PBG.LCU7.SYS.S_10KVDLC4_SW3_OPEN
1.19.14.1.51.2	PBG.LCU7.OBJ.CY_DLC4_OBJ_CLOSE
1.19.14.1.51.1	PBG.LCU7.OBJ.CY_DLC4_OBJ_OPEN	
1.19.6.356.51.2	PBG.LCU7.SYS.S_10KV405_SW2_CLOSE
1.19.6.356.51.1	PBG.LCU7.SYS.S_10KV405_SW2_OPEN
1.19.6.357.51.2	PBG.LCU7.SYS.S_10KV405_SW3_CLOSE
1.19.6.357.51.1	PBG.LCU7.SYS.S_10KV405_SW3_OPEN
1.19.14.2.51.2	PBG.LCU7.OBJ.CY_DL405_OBJ_CLOSE
1.19.14.2.51.1	PBG.LCU7.OBJ.CY_DL405_OBJ_OPEN	
1.19.6.432.51.2	PBG.LCU7.SYS.S_10KVDLC5_SW2_CLOSE
1.19.6.432.51.1	PBG.LCU7.SYS.S_10KVDLC5_SW2_OPEN
1.19.6.433.51.2	PBG.LCU7.SYS.S_10KVDLC5_SW3_CLOSE
1.19.6.433.51.1	PBG.LCU7.SYS.S_10KVDLC5_SW3_OPEN
1.19.14.3.51.2	PBG.LCU7.OBJ.CY_DLC5_OBJ_CLOSE
