!!SCT,EX,,,,,,,,
!!ID,VALUE,DESC,ETYPE,FTYPE,STATION,VALUES,PORT,DEVNAME,TYPE
SXS_SW2502111_CP07_038_2,0,实训室25021刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP07_037_1,0,实训室25021刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP07_037_2,0,实训室25021刀闸B相末端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP08_050_1,0,实训室25021刀闸B相末端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP08_050_2,0,实训室25021刀闸B相末端小瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP08_049_1,0,实训室25021刀闸B相末端小瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_CP08_049_2,0,实训室25021刀闸B相末端小瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2502111_DX01_006_1,0,实训室25021刀闸B相末端靠开关侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_25021_A_RIGHT_YXFH_1,0,实训室25021刀闸A相靠主变侧引线发红,线路,引线发红,实训室,0,0,0,0
SXS_SW2503202_CP03_015_1,0,实训室25032刀闸B相末端瓷瓶破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2503202_CP03_015_2,0,实训室25032刀闸B相末端瓷瓶积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2503202_DX01_007_1,0,实训室25032刀闸B相靠母线侧接地线松脱,刀闸,接地线,实训室,0,0,0,0
SXS_SW2503106_CP07_043_1,0,实训室25031刀闸B相末端大瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2503106_CP07_043_2,0,实训室25031刀闸B相末端大瓷瓶上段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2503106_CP07_042_1,0,实训室25031刀闸B相末端大瓷瓶下段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2503106_CP07_042_2,0,实训室25031刀闸B相末端大瓷瓶下段积污,刀闸,套管瓷瓶,实训室,0,0,0,0
SXS_SW2503106_CP08_049_1,0,实训室25031刀闸B相末端小瓷瓶上段破损,刀闸,套管瓷瓶,实训室,0,0,0,0
