!!SCT,DO,,,,,,,
!!ID,STATE,DESC,STATES,TYPE,STATION,PORT,ITIME,BSET
SXS5022_BK_B_IOPENB,0,实训室5022开关B相状态,0,0,实训室,0,0,0
SXS5022_BK_C_HWJ,1,实训室5022开关C相合位继电器状态,1,0,实训室,0,0,0
SXS5022_BK_C_IOPENC,0,实训室5022开关C相状态,0,0,实训室,0,0,0
SXS50221_SW_HW,1,实训室50221刀闸合位,1,0,实训室,0,0,0
SXS50221_SW_A_IOPENA,0,实训室50221刀闸A相状态,0,0,实训室,0,0,0
SXS50221_SW_B_IOPENB,0,实训室50221刀闸B相状态,0,0,实训室,0,0,0
SXS50221_SW_C_IOPENC,0,实训室50221刀闸C相状态,0,0,实训室,0,0,0
SXS50222_SW_HW,1,实训室50222刀闸合位,1,0,实训室,0,0,0
SXS50222_SW_A_IOPENA,0,实训室50222刀闸A相状态,0,0,实训室,0,0,0
SXS50222_SW_B_IOPENB,0,实训室50222刀闸B相状态,0,0,实训室,0,0,0
SXS50222_SW_C_IOPENC,0,实训室50222刀闸C相状态,0,0,实训室,0,0,0
SXS502217_SW_HW,1,实训室502217地刀合位,1,0,实训室,0,0,0
SXS502217_SW_A_IOPENA,0,实训室502217地刀A相状态,0,0,实训室,0,0,0
SXS502217_SW_B_IOPENB,0,实训室502217地刀B相状态,0,0,实训室,0,0,0
SXS502217_SW_C_IOPENC,0,实训室502217地刀C相状态,0,0,实训室,0,0,0
SXS502227_SW_HW,1,实训室502227地刀合位,1,0,实训室,0,0,0
SXS502227_SW_A_IOPENA,0,实训室502227地刀A相状态,0,0,实训室,0,0,0
SXS502227_SW_B_IOPENB,0,实训室502227地刀B相状态,0,0,实训室,0,0,0
SXS502227_SW_C_IOPENC,0,实训室502227地刀C相状态,0,0,实训室,0,0,0
SXS5023_BK_A_HWJ,1,实训室5023开关A相合位继电器状态,1,0,实训室,0,0,0
SXS5023_BK_A_IOPENA,0,实训室5023开关A相状态,0,0,实训室,0,0,0
SXS5023_BK_B_HWJ,1,实训室5023开关B相合位继电器状态,1,0,实训室,0,0,0
SXS5023_BK_B_IOPENB,0,实训室5023开关B相状态,0,0,实训室,0,0,0
SXS5023_BK_C_HWJ,1,实训室5023开关C相合位继电器状态,1,0,实训室,0,0,0
SXS5023_BK_C_IOPENC,0,实训室5023开关C相状态,0,0,实训室,0,0,0
SXS50231_SW_HW,1,实训室50231刀闸合位,1,0,实训室,0,0,0
SXS50231_SW_A_IOPENA,0,实训室50231刀闸A相状态,0,0,实训室,0,0,0
SXS50231_SW_B_IOPENB,0,实训室50231刀闸B相状态,0,0,实训室,0,0,0
SXS50231_SW_C_IOPENC,0,实训室50231刀闸C相状态,0,0,实训室,0,0,0
SXS50232_SW_HW,1,实训室50232刀闸合位,1,0,实训室,0,0,0
SXS50232_SW_A_IOPENA,0,实训室50232刀闸A相状态,0,0,实训室,0,0,0
SXS50232_SW_B_IOPENB,0,实训室50232刀闸B相状态,0,0,实训室,0,0,0
SXS50232_SW_C_IOPENC,0,实训室50232刀闸C相状态,0,0,实训室,0,0,0
SXS502317_SW_HW,1,实训室502317地刀合位,1,0,实训室,0,0,0
SXS502317_SW_A_IOPENA,0,实训室502317地刀A相状态,0,0,实训室,0,0,0
SXS502317_SW_B_IOPENB,0,实训室502317地刀B相状态,0,0,实训室,0,0,0
SXS502317_SW_C_IOPENC,0,实训室502317地刀C相状态,0,0,实训室,0,0,0
SXS502327_SW_HW,1,实训室502327地刀合位,1,0,实训室,0,0,0
SXS502327_SW_A_IOPENA,0,实训室502327地刀A相状态,0,0,实训室,0,0,0
SXS502327_SW_B_IOPENB,0,实训室502327地刀B相状态,0,0,实训室,0,0,0
SXS502327_SW_C_IOPENC,0,实训室502327地刀C相状态,0,0,实训室,0,0,0
SXS502367_SW_HW,1,实训室502367地刀合位,1,0,实训室,0,0,0
SXS502367_SW_A_IOPENA,0,实训室502367地刀A相状态,0,0,实训室,0,0,0
SXS502367_SW_B_IOPENB,0,实训室502367地刀B相状态,0,0,实训室,0,0,0
SXS502367_SW_C_IOPENC,0,实训室502367地刀C相状态,0,0,实训室,0,0,0
SXS501_SW_HW,1,实训室501刀闸合位,1,0,实训室,0,0,0
SXS501_SW_A_IOPENA,0,实训室501刀闸A相状态,0,0,实训室,0,0,0
SXS501_SW_B_IOPENB,0,实训室501刀闸B相状态,0,0,实训室,0,0,0
SXS501_SW_C_IOPENC,0,实训室501刀闸C相状态,0,0,实训室,0,0,0
SXS5117_SW_HW,1,实训室5117地刀合位,1,0,实训室,0,0,0
SXS5117_SW_A_IOPENA,0,实训室5117地刀A相状态,0,0,实训室,0,0,0
SXS5117_SW_B_IOPENB,0,实训室5117地刀B相状态,0,0,实训室,0,0,0
SXS5117_SW_C_IOPENC,0,实训室5117地刀C相状态,0,0,实训室,0,0,0
SXS5217_SW_HW,1,实训室5217地刀合位,1,0,实训室,0,0,0
SXS5217_SW_A_IOPENA,0,实训室5217地刀A相状态,0,0,实训室,0,0,0
SXS5217_SW_B_IOPENB,0,实训室5217地刀B相状态,0,0,实训室,0,0,0
SXS5217_SW_C_IOPENC,0,实训室5217地刀C相状态,0,0,实训室,0,0,0
SXS5041_BK_A_HWJ,1,实训室5041开关A相合位继电器状态,1,0,实训室,0,0,0
